count, mean
20.000000, 69.200000
29.000000, 70.241379
109.000000, 76.146789
27.000000, 75.962963
23.000000, 72.086957
71.000000, 69.225352
7.000000, 64.857143
104.000000, 80.663462
61.000000, 72.295082
30.000000, 71.500000
15.000000, 70.200000
24.000000, 64.583333
8.000000, 67.375000
58.000000, 71.879310
6.000000, 72.666667













